Colour_Type,Colour_brand,Material_stock_colour_name,InStock,material_stock_comment,Resin,clay
Alcohol ink,Piñata,Baja Blue,Y,,Y,Y
Alcohol ink,Piñata,Black,N,,Y,Y
Alcohol ink,Piñata,Blue Violet,Y,,Y,Y
Alcohol ink,Piñata,Burro Brown,N,,Y,Y
Alcohol ink,Piñata,Calabaza Orange,N,,Y,Y
Alcohol ink,Piñata,Caribbean Blue,N,,Y,Y
Alcohol ink,Piñata,Cayenne,N,,Y,Y
Alcohol ink,Piñata,Coral,N,,Y,Y
Alcohol ink,Piñata,Golden Yellow,Y,,Y,Y
Alcohol ink,Piñata,Havana Brown,N,,Y,Y
Alcohol ink,Piñata,Lime Green,N,,Y,Y
Alcohol ink,Piñata,Mojito,N,,Y,Y
Alcohol ink,Piñata,Orchid,N,,Y,Y
Alcohol ink,Piñata,Passion Purple,Y,Can burn,Y,Y
Alcohol ink,Piñata,Pink,Y,Can burn,Y,Y
Alcohol ink,Piñata,Rainforest Green,N,,Y,Y
Alcohol ink,Piñata,Sangria,N,,Y,Y
Alcohol ink,Piñata,Santa Fe Red,Y,,Y,Y
Alcohol ink,Piñata,Sapphire Blue,Y,,Y,Y
Alcohol ink,Piñata,Señorita Magenta,N,,Y,Y
Alcohol ink,Piñata,Shadow Grey,N,,Y,Y
Alcohol ink,Piñata,Sunbright Yellow,Y,,Y,Y
Alcohol ink,Piñata,Teal,Y,,Y,Y
Alcohol ink,Piñata,Gold,Y,,Y,Y
Alcohol ink,Piñata,Silver,Y,,Y,Y
Alcohol ink,Piñata,Copper,Y,,Y,Y
Alcohol ink,Piñata,Blanco Blanco,Y,,Y,Y
Alcohol ink,Kamenskaya,Black,Y,,Y,N
Alcohol ink,Kamenskaya,Blue,Y,,Y,N
Alcohol ink,Kamenskaya,Brown,Y,,Y,N
Alcohol ink,Kamenskaya,Green,Y,,Y,N
Alcohol ink,Kamenskaya,Lilac,Y,,Y,N
Alcohol ink,Kamenskaya,Lime,Y,,Y,N
